id,top,link,rating_count,price,skin_type,category,brand,bought_info
B07BH4DD2M,#88,https://www.amazon.com/Hawaiian-Tropic-Hydrating-Butter-Coconut/dp/B07BH4DD2M/ref=zg_bs_g_11060451_d_sccl_88/134-7398474-9093341?psc=1,"10,894",$10.99,Sunscreens & Tanning Products,After Sun,Hawaiian Tropic,20K+ bought in past month
B097WFJ5H2,#89,https://www.amazon.com/CeraVe-Treatment-Salicylic-Purifying-Blackhead/dp/B097WFJ5H2/ref=zg_bs_g_11060451_d_sccl_89/134-7398474-9093341?psc=1,"16,873",$14.99,Face,Washes,CeraVe,20K+ bought in past month
B0B4HKNDLQ,#90,https://www.amazon.com/SOL-JANEIRO-Bum-Jet-Set/dp/B0B4HKNDLQ/ref=zg_bs_g_11060451_d_sccl_90/134-7398474-9093341?psc=1,"10,446",$32.00,Sets & Kits,Sets & Kits,SOL DE JANEIRO,N/A
B008C13146,#91,https://www.amazon.com/Maybelline-Dream-Fresh-Medium-Packaging/dp/B008C13146/ref=zg_bs_g_11060451_d_sccl_91/134-7398474-9093341?psc=1,"39,810",$7.99,Face,BB Creams,N/A,10K+ bought in past month
B01LTI987M,#92,https://www.amazon.com/Softsoap-Antibacterial-Liquid-Crisp-Clean/dp/B01LTI987M/ref=zg_bs_g_11060451_d_sccl_92/134-7398474-9093341?psc=1,"28,088",$14.88,Body,Hand Wash,Softsoap,10K+ bought in past month
B09HHDHXWX,#93,https://www.amazon.com/Amazon-Basics-Gentle-Liquid-Triclosan-free/dp/B09HHDHXWX/ref=zg_bs_g_11060451_d_sccl_93/134-7398474-9093341?psc=1,"5,001",$3.56,Body,Hand Wash,Amazon Basics,30K+ bought in past month
B0CZF2T7CK,#94,https://www.amazon.com/Paris-Infallible-3-Second-Setting-Microfine/dp/B0CZF2T7CK/ref=zg_bs_g_11060451_d_sccl_94/134-7398474-9093341?psc=1,"2,833",$21.99,Face,Face Mists,L'ORÉAL PARIS,N/A
B004XGLE7K,#95,https://www.amazon.com/Sun-Bum-Moisturizing-Protection-Hypoallergenic/dp/B004XGLE7K/ref=zg_bs_g_11060451_d_sccl_95/134-7398474-9093341?psc=1,"27,051",$32.99,Sunscreens & Tanning Products,Body Sunscreens,N/A,N/A
B0BT1WN3ZD,#96,https://www.amazon.com/Method-Body-Wash-Surf-28oz/dp/B0BT1WN3ZD/ref=zg_bs_g_11060451_d_sccl_96/134-7398474-9093341?psc=1,"7,868",$11.48,Body,Body Washes,Method,30K+ bought in past month
B0BNP3ZN4X,#97,https://www.amazon.com/eos-Strawberry-Pomegranate-Raspberry-Products/dp/B0BNP3ZN4X/ref=zg_bs_g_11060451_d_sccl_97/134-7398474-9093341?psc=1,"22,329",$8.23,Lip Care,Balms & Moisturizers,eos,5K+ bought in past month
B0CGB215HR,#98,https://www.amazon.com/goPure-Neck-Firming-Cream-Anti-Aging/dp/B0CGB215HR/ref=zg_bs_g_11060451_d_sccl_98/134-7398474-9093341?psc=1,"2,545",$39.99,Face,Neck & Décolleté,goPure,30K+ bought in past month
B0CMW64H59,#99,https://www.amazon.com/Cremo-Rich-Lathering-Italian-Bergamot-Blossom/dp/B0CMW64H59/ref=zg_bs_g_11060451_d_sccl_99/134-7398474-9093341?psc=1,"7,672",$6.59,Body,Body Washes,Cremo,10K+ bought in past month
B07XC569XF,#100,https://www.amazon.com/Neutrogena-HydroBoost-Hyaluronic-Pre-Moistened-Towelettes/dp/B07XC569XF/ref=zg_bs_g_11060451_d_sccl_100/134-7398474-9093341?psc=1,"15,139",$13.78,Face,Cloths & Towelettes,Neutrogena,30K+ bought in past month
