id,top,link,rating_count,price,skin_type,category,brand,bought_info,cluster_label
B074PVTPBW,1,https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_11060451_d_sccl_1/146-4523735-3860123?psc=1,171623,12.99,Face,Treatments & Masks,Mighty Patch,100000.0,Sustainable trend
B07PBXXNCY,2,https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_11060451_d_sccl_2/146-4523735-3860123?psc=1,31982,17.95,Face,Cloths & Towelettes,CLEAN SKIN CLUB,100000.0,Trending
B08KT2Z93D,3,https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/ref=zg_bs_g_11060451_d_sccl_3/146-4523735-3860123?psc=1,34197,8.98,Body,Lotions,eos,100000.0,Trending
B00U2VQZDS,4,https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_11060451_d_sccl_4/146-4523735-3860123?psc=1,114908,9.97,Face,Cloths & Towelettes,Neutrogena,100000.0,Sustainable trend
B09V7Z4TJG,5,https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_11060451_d_sccl_5/146-4523735-3860123?psc=1,3605,17.9,Face,Toners & Astringents,medicube,100000.0,Trending
B0B2RM68G2,6,https://www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/ref=zg_bs_g_11060451_d_sccl_6/146-4523735-3860123?psc=1,12169,19.0,Face,Masks,BIODANCE,100000.0,Trending
B081KL2QYJ,7,https://www.amazon.com/PanOxyl-Foaming-Peroxide-Strength-Antimicrobial/dp/B081KL2QYJ/ref=zg_bs_g_11060451_d_sccl_7/146-4523735-3860123?psc=1,67450,9.77,Face,Washes,PanOxyl,90400.0,Trending
B01N9SPQHQ,8,https://www.amazon.com/Roche-Posay-Toleriane-Double-Repair-Moisturizer/dp/B01N9SPQHQ/ref=zg_bs_g_11060451_d_sccl_8/146-4523735-3860123?psc=1,64702,23.99,Face,Face Moisturizers,La Roche-Posay,92400.0,Trending
B00MEDOY2G,9,https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/ref=zg_bs_g_11060451_d_sccl_9/146-4523735-3860123?psc=1,120760,10.97,Body,Body Washes,Dove,80000.0,Sustainable trend
B071914GGL,10,https://www.amazon.com/Ordinary-Exfoliating-Brightening-Smoothing-Even-Looking/dp/B071914GGL/ref=zg_bs_g_11060451_d_sccl_10/146-4523735-3860123?psc=1,23046,13.0,Face,Facial Peels,The Ordinary,90000.0,Trending
B07MFMWFYL,11,https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07MFMWFYL/ref=zg_bs_g_11060451_d_sccl_11/146-4523735-3860123?psc=1,5041,8.58,Body,Hand Wash,MRS. MEYER'S CLEAN DAY,30000.0,Trending
B09MFMCTRK,12,https://www.amazon.com/Valitic-Remover-Vitamin-Collagen-Turmeric/dp/B09MFMCTRK/ref=zg_bs_g_11060451_d_sccl_12/146-4523735-3860123?psc=1,44487,14.99,Body,Soaps,VALITIC,80000.0,Trending
