id,top,link,rating_count,price,skin_type,category,brand,bought_info
B074PVTPBW,#1,https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_11060451_d_sccl_1/140-9952127-4989607?psc=1,"171,652",$12.99,Face,Treatments & Masks,Mighty Patch,100K+ bought in past month
B07PBXXNCY,#2,https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_11060451_d_sccl_2/140-9952127-4989607?psc=1,"31,948",$17.95,Face,Cloths & Towelettes,CLEAN SKIN CLUB,100K+ bought in past month
B08KT2Z93D,#3,https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/ref=zg_bs_g_11060451_d_sccl_3/140-9952127-4989607?psc=1,"34,136",$8.98,Body,Lotions,eos,100K+ bought in past month
B00U2VQZDS,#4,https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_11060451_d_sccl_4/140-9952127-4989607?psc=1,"114,890",$9.97,Face,Cloths & Towelettes,Neutrogena,100K+ bought in past month
B09V7Z4TJG,#5,https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_11060451_d_sccl_5/140-9952127-4989607?psc=1,"3,587",$17.90,Face,Toners & Astringents,medicube,100K+ bought in past month
B0B2RM68G2,#6,https://www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/ref=zg_bs_g_11060451_d_sccl_6/140-9952127-4989607?psc=1,"12,134",$19.00,Face,Masks,BIODANCE,100K+ bought in past month
B081KL2QYJ,#7,https://www.amazon.com/PanOxyl-Foaming-Peroxide-Strength-Antimicrobial/dp/B081KL2QYJ/ref=zg_bs_g_11060451_d_sccl_7/140-9952127-4989607?psc=1,"67,428",$9.77,Face,Washes,PanOxyl,N/A
B01N9SPQHQ,#8,https://www.amazon.com/Roche-Posay-Toleriane-Double-Repair-Moisturizer/dp/B01N9SPQHQ/ref=zg_bs_g_11060451_d_sccl_8/140-9952127-4989607?psc=1,"64,685",$23.99,Face,Face Moisturizers,La Roche-Posay,N/A
B00MEDOY2G,#9,https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/ref=zg_bs_g_11060451_d_sccl_9/140-9952127-4989607?psc=1,"120,736",$10.97,Body,Body Washes,Dove,80K+ bought in past month
B071914GGL,#10,https://www.amazon.com/Ordinary-Exfoliating-Brightening-Smoothing-Even-Looking/dp/B071914GGL/ref=zg_bs_g_11060451_d_sccl_10/140-9952127-4989607?psc=1,"23,017",$13.00,Face,Facial Peels,The Ordinary,N/A
B07MFMWFYL,#11,https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07MFMWFYL/ref=zg_bs_g_11060451_d_sccl_11/140-9952127-4989607?psc=1,"5,040",$8.58,Body,Hand Wash,MRS. MEYER'S CLEAN DAY,30K+ bought in past month
