id,top,link,rating_count,price,skin_type,category,brand,bought_info
B074PVTPBW,#1,https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_11060451_d_sccl_1/143-8141929-0134545?psc=1,"171,652",$12.99,Face,Treatments & Masks,Mighty Patch,100K+ bought in past month
B07PBXXNCY,#2,https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_11060451_d_sccl_2/143-8141929-0134545?psc=1,"31,948",$17.95,Face,Cloths & Towelettes,CLEAN SKIN CLUB,100K+ bought in past month
B08KT2Z93D,#3,https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/ref=zg_bs_g_11060451_d_sccl_3/143-8141929-0134545?psc=1,"34,136",$8.98,Body,Lotions,eos,100K+ bought in past month
B00U2VQZDS,#4,https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_11060451_d_sccl_4/143-8141929-0134545?psc=1,"114,890",$9.97,Face,Cloths & Towelettes,Neutrogena,100K+ bought in past month
B09V7Z4TJG,#5,https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_11060451_d_sccl_5/143-8141929-0134545?psc=1,"3,587",$17.90,Face,Toners & Astringents,medicube,100K+ bought in past month
B0B2RM68G2,#6,https://www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/ref=zg_bs_g_11060451_d_sccl_6/143-8141929-0134545?psc=1,"12,134",$19.00,Face,Masks,BIODANCE,100K+ bought in past month
B081KL2QYJ,#7,https://www.amazon.com/PanOxyl-Foaming-Peroxide-Strength-Antimicrobial/dp/B081KL2QYJ/ref=zg_bs_g_11060451_d_sccl_7/143-8141929-0134545?psc=1,"67,428",$9.77,Face,Washes,PanOxyl,N/A
B01N9SPQHQ,#8,https://www.amazon.com/Roche-Posay-Toleriane-Double-Repair-Moisturizer/dp/B01N9SPQHQ/ref=zg_bs_g_11060451_d_sccl_8/143-8141929-0134545?psc=1,"64,685",$23.99,Face,Face Moisturizers,La Roche-Posay,N/A
B00MEDOY2G,#9,https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/ref=zg_bs_g_11060451_d_sccl_9/143-8141929-0134545?psc=1,"120,736",$10.97,Body,Body Washes,Dove,80K+ bought in past month
B071914GGL,#10,https://www.amazon.com/Ordinary-Exfoliating-Brightening-Smoothing-Even-Looking/dp/B071914GGL/ref=zg_bs_g_11060451_d_sccl_10/143-8141929-0134545?psc=1,"23,017",$13.00,Face,Facial Peels,The Ordinary,N/A
B07MFMWFYL,#11,https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07MFMWFYL/ref=zg_bs_g_11060451_d_sccl_11/143-8141929-0134545?psc=1,"5,040",$8.58,Body,Hand Wash,MRS. MEYER'S CLEAN DAY,30K+ bought in past month
B09MFMCTRK,#12,https://www.amazon.com/Valitic-Remover-Vitamin-Collagen-Turmeric/dp/B09MFMCTRK/ref=zg_bs_g_11060451_d_sccl_12/143-8141929-0134545?psc=1,"44,432",$14.99,Body,Soaps,VALITIC,80K+ bought in past month
B00TTD9BRC,#13,https://www.amazon.com/CeraVe-Moisturizing-Cream-Daily-Moisturizer/dp/B00TTD9BRC/ref=zg_bs_g_11060451_d_sccl_13/143-8141929-0134545?psc=1,"130,837",$16.61,Face,Face Moisturizers,CeraVe,100K+ bought in past month
B000YJ2SLG,#14,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B000YJ2SLG/ref=zg_bs_g_11060451_d_sccl_14/143-8141929-0134545?psc=1,"124,251",$13.68,Body,Lotions,CeraVe,60K+ bought in past month
B00PBX3L7K,#15,https://www.amazon.com/COSRX-Repairing-Hydrating-Secretion-Phthalates/dp/B00PBX3L7K/ref=zg_bs_g_11060451_d_sccl_15/143-8141929-0134545?psc=1,"84,135",$18.44,Face,Serums,N/A,N/A
B0BRMYHMS5,#16,https://www.amazon.com/Medicube-Collagen-Wrapping-Elasticity-Hydration/dp/B0BRMYHMS5/ref=zg_bs_g_11060451_d_sccl_16/143-8141929-0134545?psc=1,"3,052",$18.90,Face,Masks,medicube,100K+ bought in past month
B00949CTQQ,#17,https://www.amazon.com/Paulas-Choice-SKIN-PERFECTING-Exfoliant-Facial-Blackheads/dp/B00949CTQQ/ref=zg_bs_g_11060451_d_sccl_17/143-8141929-0134545?psc=1,"106,648",$35.00,Face,Facial Peels,Paula's Choice,N/A
B01MSSDEPK,#18,https://www.amazon.com/CeraVe-Hydrating-Facial-Cleanser-Fragrance/dp/B01MSSDEPK/ref=zg_bs_g_11060451_d_sccl_18/143-8141929-0134545?psc=1,"120,128",$15.48,Face,Washes,CeraVe,70K+ bought in past month
B01MYEZPC8,#19,https://www.amazon.com/Ordinary-Hyaluronic-Acid-2-30ml/dp/B01MYEZPC8/ref=zg_bs_g_11060451_d_sccl_19/143-8141929-0134545?psc=1,"21,845",$9.90,Face,Serums,N/A,N/A
B002MSN3QQ,#20,https://www.amazon.com/EltaMD-Acne-Prone-Mineral-Based-Dermatologist-Recommended/dp/B002MSN3QQ/ref=zg_bs_g_11060451_d_sccl_20/143-8141929-0134545?psc=1,"44,470",$44.00,Sunscreens & Tanning Products,Facial Sunscreens,N/A,70K+ bought in past month
