id,top,link,rating_count,price,skin_type,category,brand,bought_info
B074PVTPBW,1,https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_11060451_d_sccl_1/143-8141929-0134545?psc=1,171652,12.99,Face,Treatments & Masks,Mighty Patch,100000.0
B07PBXXNCY,2,https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_11060451_d_sccl_2/143-8141929-0134545?psc=1,31948,17.95,Face,Cloths & Towelettes,CLEAN SKIN CLUB,100000.0
B08KT2Z93D,3,https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/ref=zg_bs_g_11060451_d_sccl_3/143-8141929-0134545?psc=1,34136,8.98,Body,Lotions,eos,100000.0
B00U2VQZDS,4,https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_11060451_d_sccl_4/143-8141929-0134545?psc=1,114890,9.97,Face,Cloths & Towelettes,Neutrogena,100000.0
B09V7Z4TJG,5,https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_11060451_d_sccl_5/143-8141929-0134545?psc=1,3587,17.9,Face,Toners & Astringents,medicube,100000.0
B0B2RM68G2,6,https://www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/ref=zg_bs_g_11060451_d_sccl_6/143-8141929-0134545?psc=1,12134,19.0,Face,Masks,BIODANCE,100000.0
B081KL2QYJ,7,https://www.amazon.com/PanOxyl-Foaming-Peroxide-Strength-Antimicrobial/dp/B081KL2QYJ/ref=zg_bs_g_11060451_d_sccl_7/143-8141929-0134545?psc=1,67428,9.77,Face,Washes,PanOxyl,88590.0
B01N9SPQHQ,8,https://www.amazon.com/Roche-Posay-Toleriane-Double-Repair-Moisturizer/dp/B01N9SPQHQ/ref=zg_bs_g_11060451_d_sccl_8/143-8141929-0134545?psc=1,64685,23.99,Face,Face Moisturizers,La Roche-Posay,92865.0
B00MEDOY2G,9,https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/ref=zg_bs_g_11060451_d_sccl_9/143-8141929-0134545?psc=1,120736,10.97,Body,Body Washes,Dove,80000.0
B071914GGL,10,https://www.amazon.com/Ordinary-Exfoliating-Brightening-Smoothing-Even-Looking/dp/B071914GGL/ref=zg_bs_g_11060451_d_sccl_10/143-8141929-0134545?psc=1,23017,13.0,Face,Facial Peels,The Ordinary,86455.0
