id,top,link,rating_count,price,skin_type,category,brand,bought_info
B074PVTPBW,#1,https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_11060451_d_sccl_1/137-1423189-1835638?psc=1,"171,653",$12.99,Face,Treatments & Masks,Mighty Patch,100K+ bought in past month
B07PBXXNCY,#2,https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_11060451_d_sccl_2/137-1423189-1835638?psc=1,"31,949",$17.95,Face,Cloths & Towelettes,CLEAN SKIN CLUB,100K+ bought in past month
B08KT2Z93D,#3,https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/ref=zg_bs_g_11060451_d_sccl_3/137-1423189-1835638?psc=1,"34,138",$8.98,Body,Lotions,eos,100K+ bought in past month
B00U2VQZDS,#4,https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_11060451_d_sccl_4/137-1423189-1835638?psc=1,"114,890",$9.97,Face,Cloths & Towelettes,Neutrogena,100K+ bought in past month
B09V7Z4TJG,#5,https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_11060451_d_sccl_5/137-1423189-1835638?psc=1,"3,588",$17.90,Face,Toners & Astringents,medicube,100K+ bought in past month
B0B2RM68G2,#6,https://www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/ref=zg_bs_g_11060451_d_sccl_6/137-1423189-1835638?psc=1,"12,134",$19.00,Face,Masks,BIODANCE,100K+ bought in past month
B081KL2QYJ,#7,https://www.amazon.com/PanOxyl-Foaming-Peroxide-Strength-Antimicrobial/dp/B081KL2QYJ/ref=zg_bs_g_11060451_d_sccl_7/137-1423189-1835638?psc=1,"67,428",$9.77,Face,Washes,PanOxyl,N/A
B01N9SPQHQ,#8,https://www.amazon.com/Roche-Posay-Toleriane-Double-Repair-Moisturizer/dp/B01N9SPQHQ/ref=zg_bs_g_11060451_d_sccl_8/137-1423189-1835638?psc=1,"64,685",$23.99,Face,Face Moisturizers,La Roche-Posay,N/A
B00MEDOY2G,#9,https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/ref=zg_bs_g_11060451_d_sccl_9/137-1423189-1835638?psc=1,"120,736",$10.97,Body,Body Washes,Dove,80K+ bought in past month
B071914GGL,#10,https://www.amazon.com/Ordinary-Exfoliating-Brightening-Smoothing-Even-Looking/dp/B071914GGL/ref=zg_bs_g_11060451_d_sccl_10/137-1423189-1835638?psc=1,"23,017",$13.00,Face,Facial Peels,The Ordinary,N/A
B07MFMWFYL,#11,https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07MFMWFYL/ref=zg_bs_g_11060451_d_sccl_11/137-1423189-1835638?psc=1,"5,040",$8.58,Body,Hand Wash,MRS. MEYER'S CLEAN DAY,30K+ bought in past month
B09MFMCTRK,#12,https://www.amazon.com/Valitic-Remover-Vitamin-Collagen-Turmeric/dp/B09MFMCTRK/ref=zg_bs_g_11060451_d_sccl_12/137-1423189-1835638?psc=1,"44,432",$14.99,Body,Soaps,VALITIC,80K+ bought in past month
B00TTD9BRC,#13,https://www.amazon.com/CeraVe-Moisturizing-Cream-Daily-Moisturizer/dp/B00TTD9BRC/ref=zg_bs_g_11060451_d_sccl_13/137-1423189-1835638?psc=1,"130,838",$16.61,Face,Face Moisturizers,CeraVe,100K+ bought in past month
B00PBX3L7K,#14,https://www.amazon.com/COSRX-Repairing-Hydrating-Secretion-Phthalates/dp/B00PBX3L7K/ref=zg_bs_g_11060451_d_sccl_14/137-1423189-1835638?psc=1,"84,136",$18.44,Face,Serums,N/A,N/A
B000YJ2SLG,#15,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B000YJ2SLG/ref=zg_bs_g_11060451_d_sccl_15/137-1423189-1835638?psc=1,"124,250",$13.68,Body,Lotions,CeraVe,60K+ bought in past month
B0BRMYHMS5,#16,https://www.amazon.com/Medicube-Collagen-Wrapping-Elasticity-Hydration/dp/B0BRMYHMS5/ref=zg_bs_g_11060451_d_sccl_16/137-1423189-1835638?psc=1,"3,055",$18.90,Face,Masks,medicube,100K+ bought in past month
B00949CTQQ,#17,https://www.amazon.com/Paulas-Choice-SKIN-PERFECTING-Exfoliant-Facial-Blackheads/dp/B00949CTQQ/ref=zg_bs_g_11060451_d_sccl_17/137-1423189-1835638?psc=1,"106,648",$35.00,Face,Facial Peels,Paula's Choice,N/A
B01MSSDEPK,#18,https://www.amazon.com/CeraVe-Hydrating-Facial-Cleanser-Fragrance/dp/B01MSSDEPK/ref=zg_bs_g_11060451_d_sccl_18/137-1423189-1835638?psc=1,"120,128",$15.48,Face,Washes,CeraVe,70K+ bought in past month
B01MYEZPC8,#19,https://www.amazon.com/Ordinary-Hyaluronic-Acid-2-30ml/dp/B01MYEZPC8/ref=zg_bs_g_11060451_d_sccl_19/137-1423189-1835638?psc=1,"21,846",$9.90,Face,Serums,N/A,N/A
B002MSN3QQ,#20,https://www.amazon.com/EltaMD-Acne-Prone-Mineral-Based-Dermatologist-Recommended/dp/B002MSN3QQ/ref=zg_bs_g_11060451_d_sccl_20/137-1423189-1835638?psc=1,"44,470",$44.00,Sunscreens & Tanning Products,Facial Sunscreens,N/A,70K+ bought in past month
B00SK71SAG,#21,https://www.amazon.com/Dove-Hypoallergenic-Paraben-Free-Sulfate-Free-Cruelty-Free/dp/B00SK71SAG/ref=zg_bs_g_11060451_d_sccl_21/137-1423189-1835638?psc=1,"57,197",$9.87,Body,Body Washes,Dove,40K+ bought in past month
B07TJG79HP,#22,https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07TJG79HP/ref=zg_bs_g_11060451_d_sccl_22/137-1423189-1835638?psc=1,"16,600",$14.64,Body,Hand Wash,MRS. MEYER'S CLEAN DAY,20K+ bought in past month
B00365DABC,#23,https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-Lightweight/dp/B00365DABC/ref=zg_bs_g_11060451_d_sccl_23/137-1423189-1835638?psc=1,"55,116",$14.94,Face,Face Moisturizers,CeraVe,80K+ bought in past month
B014E2D6BY,#24,https://www.amazon.com/Under-Eye-Patches-Gold-24-Pairs/dp/B014E2D6BY/ref=zg_bs_g_11060451_d_sccl_24/137-1423189-1835638?psc=1,"31,319",$21.95,Eyes,Wrinkle Pads & Patches,grace & stella,30K+ bought in past month
B01N1LL62W,#25,https://www.amazon.com/CeraVe-Foaming-Facial-Cleanser-Washing/dp/B01N1LL62W/ref=zg_bs_g_11060451_d_sccl_25/137-1423189-1835638?psc=1,"94,665",$15.48,Face,Washes,CeraVe,50K+ bought in past month
B01N34XW93,#26,https://www.amazon.com/Roche-Posay-Toleriane-Purifying-Sensitive-Niacinamide/dp/B01N34XW93/ref=zg_bs_g_11060451_d_sccl_26/137-1423189-1835638?psc=1,"39,210",$17.99,Face,Washes,La Roche-Posay,N/A
B00SNPCSUY,#27,https://www.amazon.com/CeraVe-Skin-Renewing-Night-Cream/dp/B00SNPCSUY/ref=zg_bs_g_11060451_d_sccl_27/137-1423189-1835638?psc=1,"49,820",$16.47,Face,Night Creams,CeraVe,70K+ bought in past month
B0BBSP2JNQ,#28,https://www.amazon.com/Face-Moisturizer-Collagen-Cream-Moisturizing/dp/B0BBSP2JNQ/ref=zg_bs_g_11060451_d_sccl_28/137-1423189-1835638?psc=1,"18,826",$22.99,Face,Neck & Décolleté,SimplyVital,70K+ bought in past month
B0BX2TZZWG,#29,https://www.amazon.com/Tree-Hut-Variety-Strawberry-Champaine/dp/B0BX2TZZWG/ref=zg_bs_g_11060451_d_sccl_29/137-1423189-1835638?psc=1,"143,260",$7.97,Body,Body Scrubs,Tree Hut,20K+ bought in past month
B01MDTVZTZ,#30,https://www.amazon.com/Ordinary-Niacinamide-10-Zinc-30ml/dp/B01MDTVZTZ/ref=zg_bs_g_11060451_d_sccl_30/137-1423189-1835638?psc=1,"30,668",$6.00,Face,Serums,N/A,N/A
B08BW46XXK,#31,https://www.amazon.com/Vanicream-Moisturizer-Hyaluronic-pH-Balanced-Dermatologist/dp/B08BW46XXK/ref=zg_bs_g_11060451_d_sccl_31/137-1423189-1835638?psc=1,"18,276",$12.97,Face,Face Moisturizers,Vanicream,70K+ bought in past month
B07L1PHSY9,#32,https://www.amazon.com/Differin-Adapalene-0-1-Acne-Treatment/dp/B07L1PHSY9/ref=zg_bs_g_11060451_d_sccl_32/137-1423189-1835638?psc=1,"82,725",$14.97,Face,Treatments & Masks,Differin,N/A
B00027DMSI,#33,https://www.amazon.com/Frownies-Forehead-Between-Eyes-Patches/dp/B00027DMSI/ref=zg_bs_g_11060451_d_sccl_33/137-1423189-1835638?psc=1,"37,379",$24.95,Eyes,Wrinkle Pads & Patches,Frownies,70K+ bought in past month
B00F97FHAW,#34,https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-AM/dp/B00F97FHAW/ref=zg_bs_g_11060451_d_sccl_34/137-1423189-1835638?psc=1,"89,937",$14.97,Face,Face Moisturizers,CeraVe,70K+ bought in past month
B01N7T7JKJ,#35,https://www.amazon.com/Roche-Posay-Toleriane-Hydrating-Gentle-Cleanser/dp/B01N7T7JKJ/ref=zg_bs_g_11060451_d_sccl_35/137-1423189-1835638?psc=1,"36,827",$17.99,Face,Washes,La Roche-Posay,N/A
B07VRFC3Y7,#36,https://www.amazon.com/SkinSmart-Cleanser-Bacteria-Athletes-Multiple/dp/B07VRFC3Y7/ref=zg_bs_g_11060451_d_sccl_36/137-1423189-1835638?psc=1,"8,779",$17.46,Face,Washes,SkinSmart Antimicrobial,50K+ bought in past month
B079FV6PRH,#37,https://www.amazon.com/Softsoap-Liquid-Hand-Fresh-Breeze/dp/B079FV6PRH/ref=zg_bs_g_11060451_d_sccl_37/137-1423189-1835638?psc=1,"99,446",$7.74,Body,Hand Wash,Softsoap,30K+ bought in past month
