id,top,link,rating_count,price,skin_type,category,brand,bought_info,cluster_label
B074PVTPBW,1,https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg_bs_g_11060451_d_sccl_1/137-1423189-1835638?psc=1,171653,12.99,Face,Treatments & Masks,Mighty Patch,100000.0,Sustainable trend
B07PBXXNCY,2,https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/ref=zg_bs_g_11060451_d_sccl_2/137-1423189-1835638?psc=1,31949,17.95,Face,Cloths & Towelettes,CLEAN SKIN CLUB,100000.0,Trending
B08KT2Z93D,3,https://www.amazon.com/eos-Cashmere-Moisture-Lightweight-Non-Greasy/dp/B08KT2Z93D/ref=zg_bs_g_11060451_d_sccl_3/137-1423189-1835638?psc=1,34138,8.98,Body,Lotions,eos,100000.0,Trending
B00U2VQZDS,4,https://www.amazon.com/Neutrogena-Cleansing-Towelettes-Waterproof-Alcohol-Free/dp/B00U2VQZDS/ref=zg_bs_g_11060451_d_sccl_4/137-1423189-1835638?psc=1,114890,9.97,Face,Cloths & Towelettes,Neutrogena,100000.0,Sustainable trend
B09V7Z4TJG,5,https://www.amazon.com/Medicube-Zero-Pore-Pads-Dual-Textured/dp/B09V7Z4TJG/ref=zg_bs_g_11060451_d_sccl_5/137-1423189-1835638?psc=1,3588,17.9,Face,Toners & Astringents,medicube,100000.0,Trending
B0B2RM68G2,6,https://www.amazon.com/Biodance-Bio-Collagen-Tightening-Hydrating-Molecular/dp/B0B2RM68G2/ref=zg_bs_g_11060451_d_sccl_6/137-1423189-1835638?psc=1,12134,19.0,Face,Masks,BIODANCE,100000.0,Trending
B081KL2QYJ,7,https://www.amazon.com/PanOxyl-Foaming-Peroxide-Strength-Antimicrobial/dp/B081KL2QYJ/ref=zg_bs_g_11060451_d_sccl_7/137-1423189-1835638?psc=1,67428,9.77,Face,Washes,PanOxyl,89990.0,Trending
B01N9SPQHQ,8,https://www.amazon.com/Roche-Posay-Toleriane-Double-Repair-Moisturizer/dp/B01N9SPQHQ/ref=zg_bs_g_11060451_d_sccl_8/137-1423189-1835638?psc=1,64685,23.99,Face,Face Moisturizers,La Roche-Posay,93552.0,Trending
B00MEDOY2G,9,https://www.amazon.com/Dove-Body-Wash-Pump-Moisture/dp/B00MEDOY2G/ref=zg_bs_g_11060451_d_sccl_9/137-1423189-1835638?psc=1,120736,10.97,Body,Body Washes,Dove,80000.0,Sustainable trend
B071914GGL,10,https://www.amazon.com/Ordinary-Exfoliating-Brightening-Smoothing-Even-Looking/dp/B071914GGL/ref=zg_bs_g_11060451_d_sccl_10/137-1423189-1835638?psc=1,23017,13.0,Face,Facial Peels,The Ordinary,90077.0,Trending
B07MFMWFYL,11,https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07MFMWFYL/ref=zg_bs_g_11060451_d_sccl_11/137-1423189-1835638?psc=1,5040,8.58,Body,Hand Wash,MRS. MEYER'S CLEAN DAY,30000.0,Potential Growth
B09MFMCTRK,12,https://www.amazon.com/Valitic-Remover-Vitamin-Collagen-Turmeric/dp/B09MFMCTRK/ref=zg_bs_g_11060451_d_sccl_12/137-1423189-1835638?psc=1,44432,14.99,Body,Soaps,VALITIC,80000.0,Trending
B00TTD9BRC,13,https://www.amazon.com/CeraVe-Moisturizing-Cream-Daily-Moisturizer/dp/B00TTD9BRC/ref=zg_bs_g_11060451_d_sccl_13/137-1423189-1835638?psc=1,130838,16.61,Face,Face Moisturizers,CeraVe,100000.0,Sustainable trend
B00PBX3L7K,14,https://www.amazon.com/COSRX-Repairing-Hydrating-Secretion-Phthalates/dp/B00PBX3L7K/ref=zg_bs_g_11060451_d_sccl_14/137-1423189-1835638?psc=1,84136,18.44,Face,Serums,unknown,87671.0,Sustainable trend
B000YJ2SLG,15,https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B000YJ2SLG/ref=zg_bs_g_11060451_d_sccl_15/137-1423189-1835638?psc=1,124250,13.68,Body,Lotions,CeraVe,60000.0,Sustainable trend
B0BRMYHMS5,16,https://www.amazon.com/Medicube-Collagen-Wrapping-Elasticity-Hydration/dp/B0BRMYHMS5/ref=zg_bs_g_11060451_d_sccl_16/137-1423189-1835638?psc=1,3055,18.9,Face,Masks,medicube,100000.0,Trending
B00949CTQQ,17,https://www.amazon.com/Paulas-Choice-SKIN-PERFECTING-Exfoliant-Facial-Blackheads/dp/B00949CTQQ/ref=zg_bs_g_11060451_d_sccl_17/137-1423189-1835638?psc=1,106648,35.0,Face,Facial Peels,Paula's Choice,79074.0,Sustainable trend
B01MSSDEPK,18,https://www.amazon.com/CeraVe-Hydrating-Facial-Cleanser-Fragrance/dp/B01MSSDEPK/ref=zg_bs_g_11060451_d_sccl_18/137-1423189-1835638?psc=1,120128,15.48,Face,Washes,CeraVe,70000.0,Sustainable trend
B01MYEZPC8,19,https://www.amazon.com/Ordinary-Hyaluronic-Acid-2-30ml/dp/B01MYEZPC8/ref=zg_bs_g_11060451_d_sccl_19/137-1423189-1835638?psc=1,21846,9.9,Face,Serums,unknown,67124.0,Potential Growth
B002MSN3QQ,20,https://www.amazon.com/EltaMD-Acne-Prone-Mineral-Based-Dermatologist-Recommended/dp/B002MSN3QQ/ref=zg_bs_g_11060451_d_sccl_20/137-1423189-1835638?psc=1,44470,44.0,Sunscreens & Tanning Products,Facial Sunscreens,unknown,70000.0,Potential Growth
B00SK71SAG,21,https://www.amazon.com/Dove-Hypoallergenic-Paraben-Free-Sulfate-Free-Cruelty-Free/dp/B00SK71SAG/ref=zg_bs_g_11060451_d_sccl_21/137-1423189-1835638?psc=1,57197,9.87,Body,Body Washes,Dove,40000.0,Potential Growth
B07TJG79HP,22,https://www.amazon.com/MRS-MEYERS-CLEAN-DAY-Biodegradable/dp/B07TJG79HP/ref=zg_bs_g_11060451_d_sccl_22/137-1423189-1835638?psc=1,16600,14.64,Body,Hand Wash,MRS. MEYER'S CLEAN DAY,20000.0,Potential Growth
B00365DABC,23,https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-Lightweight/dp/B00365DABC/ref=zg_bs_g_11060451_d_sccl_23/137-1423189-1835638?psc=1,55116,14.94,Face,Face Moisturizers,CeraVe,80000.0,Potential Growth
B014E2D6BY,24,https://www.amazon.com/Under-Eye-Patches-Gold-24-Pairs/dp/B014E2D6BY/ref=zg_bs_g_11060451_d_sccl_24/137-1423189-1835638?psc=1,31319,21.95,Eyes,Wrinkle Pads & Patches,grace & stella,30000.0,Potential Growth
B01N1LL62W,25,https://www.amazon.com/CeraVe-Foaming-Facial-Cleanser-Washing/dp/B01N1LL62W/ref=zg_bs_g_11060451_d_sccl_25/137-1423189-1835638?psc=1,94665,15.48,Face,Washes,CeraVe,50000.0,Trending again
B01N34XW93,26,https://www.amazon.com/Roche-Posay-Toleriane-Purifying-Sensitive-Niacinamide/dp/B01N34XW93/ref=zg_bs_g_11060451_d_sccl_26/137-1423189-1835638?psc=1,39210,17.99,Face,Washes,La Roche-Posay,64848.0,Potential Growth
B00SNPCSUY,27,https://www.amazon.com/CeraVe-Skin-Renewing-Night-Cream/dp/B00SNPCSUY/ref=zg_bs_g_11060451_d_sccl_27/137-1423189-1835638?psc=1,49820,16.47,Face,Night Creams,CeraVe,70000.0,Potential Growth
B0BBSP2JNQ,28,https://www.amazon.com/Face-Moisturizer-Collagen-Cream-Moisturizing/dp/B0BBSP2JNQ/ref=zg_bs_g_11060451_d_sccl_28/137-1423189-1835638?psc=1,18826,22.99,Face,Neck & Décolleté,SimplyVital,70000.0,Potential Growth
B0BX2TZZWG,29,https://www.amazon.com/Tree-Hut-Variety-Strawberry-Champaine/dp/B0BX2TZZWG/ref=zg_bs_g_11060451_d_sccl_29/137-1423189-1835638?psc=1,143260,7.97,Body,Body Scrubs,Tree Hut,20000.0,Trending again
B01MDTVZTZ,30,https://www.amazon.com/Ordinary-Niacinamide-10-Zinc-30ml/dp/B01MDTVZTZ/ref=zg_bs_g_11060451_d_sccl_30/137-1423189-1835638?psc=1,30668,6.0,Face,Serums,unknown,59718.0,Potential Growth
B08BW46XXK,31,https://www.amazon.com/Vanicream-Moisturizer-Hyaluronic-pH-Balanced-Dermatologist/dp/B08BW46XXK/ref=zg_bs_g_11060451_d_sccl_31/137-1423189-1835638?psc=1,18276,12.97,Face,Face Moisturizers,Vanicream,70000.0,Potential Growth
B07L1PHSY9,32,https://www.amazon.com/Differin-Adapalene-0-1-Acne-Treatment/dp/B07L1PHSY9/ref=zg_bs_g_11060451_d_sccl_32/137-1423189-1835638?psc=1,82725,14.97,Face,Treatments & Masks,Differin,61304.0,Trending again
B00027DMSI,33,https://www.amazon.com/Frownies-Forehead-Between-Eyes-Patches/dp/B00027DMSI/ref=zg_bs_g_11060451_d_sccl_33/137-1423189-1835638?psc=1,37379,24.95,Eyes,Wrinkle Pads & Patches,Frownies,70000.0,Potential Growth
B00F97FHAW,34,https://www.amazon.com/CeraVe-Facial-Moisturizing-Lotion-AM/dp/B00F97FHAW/ref=zg_bs_g_11060451_d_sccl_34/137-1423189-1835638?psc=1,89937,14.97,Face,Face Moisturizers,CeraVe,70000.0,Trending again
B01N7T7JKJ,35,https://www.amazon.com/Roche-Posay-Toleriane-Hydrating-Gentle-Cleanser/dp/B01N7T7JKJ/ref=zg_bs_g_11060451_d_sccl_35/137-1423189-1835638?psc=1,36827,17.99,Face,Washes,La Roche-Posay,63514.0,Potential Growth
B07VRFC3Y7,36,https://www.amazon.com/SkinSmart-Cleanser-Bacteria-Athletes-Multiple/dp/B07VRFC3Y7/ref=zg_bs_g_11060451_d_sccl_36/137-1423189-1835638?psc=1,8779,17.46,Face,Washes,SkinSmart Antimicrobial,50000.0,Potential Growth
B079FV6PRH,37,https://www.amazon.com/Softsoap-Liquid-Hand-Fresh-Breeze/dp/B079FV6PRH/ref=zg_bs_g_11060451_d_sccl_37/137-1423189-1835638?psc=1,99446,7.74,Body,Hand Wash,Softsoap,30000.0,Trending again
B07YLKXV11,38,https://www.amazon.com/CeraVe-Sunscreen-Hydrating-Mineral-Titanium/dp/B07YLKXV11/ref=zg_bs_g_11060451_d_sccl_38/137-1423189-1835638?psc=1,62195,13.97,Sunscreens & Tanning Products,Facial Sunscreens,unknown,40000.0,Trending again
B0060OUV5Y,39,https://www.amazon.com/Roche-Posay-Cicaplast-Baume-Multi-Purpose-Butter/dp/B0060OUV5Y/ref=zg_bs_g_11060451_d_sccl_39/137-1423189-1835638?psc=1,15125,15.99,Body,Creams,La Roche-Posay,39593.0,Potential Growth
B003QXZWYW,40,https://www.amazon.com/Roche-Posay-Lipikar-Intense-Repair-Cream/dp/B003QXZWYW/ref=zg_bs_g_11060451_d_sccl_40/137-1423189-1835638?psc=1,32553,19.99,Body,Lotions,La Roche-Posay,39927.0,Potential Growth
B091NJQ29P,41,https://www.amazon.com/Good-Molecules-Formulated-Revitalize-Fragrance/dp/B091NJQ29P/ref=zg_bs_g_11060451_d_sccl_41/137-1423189-1835638?psc=1,17953,5.98,Eyes,Gels,unknown,60000.0,Potential Growth
B07RW4CHC3,42,https://www.amazon.com/DRMTLGY-Anti-Aging-Moisturizer-Foundation-Protection/dp/B07RW4CHC3/ref=zg_bs_g_11060451_d_sccl_42/137-1423189-1835638?psc=1,31504,29.0,Face,Tinted Moisturizers,unknown,30000.0,Potential Growth
