id,top,link,rating_count,price,skin_type,category,brand,bought_info
B08CQ9T6KN,#46,https://www.amazon.com/CeraVe-Salicylic-Cleanser-Exfoliating-Fragrance/dp/B08CQ9T6KN/ref=zg_bs_g_11060451_d_sccl_46/146-4523735-3860123?psc=1,"74,075",$15.48,Face,Washes,CeraVe,30K+ bought in past month
B01M4MCUAF,#47,https://www.amazon.com/TruSkin-Naturals-Vitamin-Topical-Hyaluronic/dp/B01M4MCUAF/ref=zg_bs_g_11060451_d_sccl_47/146-4523735-3860123?psc=1,"149,118",$21.97,Face,Serums,N/A,40K+ bought in past month
B07DY2QRF6,#48,https://www.amazon.com/Laneige-Lip-Glowy-Balm-Berry/dp/B07DY2QRF6/ref=zg_bs_g_11060451_d_sccl_48/146-4523735-3860123?psc=1,"29,811",$19.00,Lip Care,Balms & Moisturizers,LANEIGE,20K+ bought in past month
B0009EILKS,#49,https://www.amazon.com/Bior%C3%A9-Blackhead-Unclogging-Technology-Non-Comedogenic/dp/B0009EILKS/ref=zg_bs_g_11060451_d_sccl_49/146-4523735-3860123?psc=1,"81,528",$9.87,Face,Pore Cleansing Strips,Bioré,30K+ bought in past month
B00JJPMXDO,#50,https://www.amazon.com/CeraVe-Repair-Cream-Circles-Puffiness/dp/B00JJPMXDO/ref=zg_bs_g_11060451_d_sccl_50/146-4523735-3860123?psc=1,"67,027",$14.44,Eyes,Creams,CeraVe,50K+ bought in past month
B0054LHI5A,#51,https://www.amazon.com/Burts-Bees-Moisturizing-Original-Peppermint/dp/B0054LHI5A/ref=zg_bs_g_11060451_d_sccl_1/146-4523735-3860123?psc=1,"87,784",$10.48,Lip Care,Balms & Moisturizers,Burt's Bees,30K+ bought in past month
B086K2KMNR,#52,https://www.amazon.com/Beauty-Moisturizing-Effectively-Bacteria-Nourishes/dp/B086K2KMNR/ref=zg_bs_g_11060451_d_sccl_2/146-4523735-3860123?psc=1,"33,315",$16.17,Body,Soaps,Dove,40K+ bought in past month
B0BT1VXDGD,#53,https://www.amazon.com/Method-Body-Peace-Paraben-Phthalate/dp/B0BT1VXDGD/ref=zg_bs_g_11060451_d_sccl_3/146-4523735-3860123?psc=1,"5,706",$10.97,Body,Body Washes,Method,30K+ bought in past month
B081FFRGZB,#54,https://www.amazon.com/Softsoap-Antibacterial-Liquid-Refill-White/dp/B081FFRGZB/ref=zg_bs_g_11060451_d_sccl_4/146-4523735-3860123?psc=1,"13,159",$5.97,Body,Hand Wash,Softsoap,30K+ bought in past month
B00I51885U,#55,https://www.amazon.com/Carroten-Tan-Express-Intensive-Tanning/dp/B00I51885U/ref=zg_bs_g_11060451_d_sccl_5/146-4523735-3860123?psc=1,"9,812",$26.96,Sunscreens & Tanning Products,Tanning Oils & Lotions,Carroten,20K+ bought in past month
